provider,type,range
AzureFrontDoor,ipv6,2603:1010:404::600/123
AzureFrontDoor,ipv6,2603:1010:502:2::420/123
AzureFrontDoor,ipv6,2603:1020:5:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:5:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:104:3::120/123
AzureFrontDoor,ipv6,2603:1020:206:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:206:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:305::600/123
AzureFrontDoor,ipv6,2603:1020:405::600/123
AzureFrontDoor,ipv6,2603:1020:605::600/123
AzureFrontDoor,ipv6,2603:1020:705:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:705:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:805:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:805:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:905::600/123
AzureFrontDoor,ipv6,2603:1020:a04:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:a04:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:b04::600/123
AzureFrontDoor,ipv6,2603:1020:c04:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:c04:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:d04::600/123
AzureFrontDoor,ipv6,2603:1020:e04:1::5c0/123
AzureFrontDoor,ipv6,2603:1020:e04:1::7e0/123
AzureFrontDoor,ipv6,2603:1020:f04::600/123
AzureFrontDoor,ipv6,2603:1020:1004::5c0/123
AzureFrontDoor,ipv6,2603:1020:1004::7e0/123
AzureFrontDoor,ipv6,2603:1020:1104::680/123
AzureFrontDoor,ipv6,2603:1020:1204:2::e0/123
AzureFrontDoor,ipv6,2603:1020:1302:1::1c0/123
AzureFrontDoor,ipv6,2603:1020:1403:2::140/123
AzureFrontDoor,ipv6,2603:1030:f:1::600/123
AzureFrontDoor,ipv6,2603:1030:10:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:10:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:104:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:104:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:107::6a0/123
AzureFrontDoor,ipv6,2603:1030:210:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:210:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:40b:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:40c:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:40c:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:504:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:504:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:608::600/123
AzureFrontDoor,ipv6,2603:1030:702:2::140/123
AzureFrontDoor,ipv6,2603:1030:807:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:807:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:a07::600/123
AzureFrontDoor,ipv6,2603:1030:b04::600/123
AzureFrontDoor,ipv6,2603:1030:c06:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:f05:1::5c0/123
AzureFrontDoor,ipv6,2603:1030:f05:1::7e0/123
AzureFrontDoor,ipv6,2603:1030:1005::600/123
AzureFrontDoor,ipv6,2603:1040:5::e0/123
AzureFrontDoor,ipv6,2603:1040:5:1::5c0/123
AzureFrontDoor,ipv6,2603:1040:5:1::7e0/123
AzureFrontDoor,ipv6,2603:1040:207::600/123
AzureFrontDoor,ipv6,2603:1040:407:1::5c0/123
AzureFrontDoor,ipv6,2603:1040:407:1::7e0/123
AzureFrontDoor,ipv6,2603:1040:606::600/123
AzureFrontDoor,ipv6,2603:1040:806::600/123
AzureFrontDoor,ipv6,2603:1040:904:1::5c0/123
AzureFrontDoor,ipv6,2603:1040:904:1::7e0/123
AzureFrontDoor,ipv6,2603:1040:a06::e0/123
AzureFrontDoor,ipv6,2603:1040:a06:1::5c0/123
AzureFrontDoor,ipv6,2603:1040:a06:1::7e0/123
AzureFrontDoor,ipv6,2603:1040:b04::600/123
AzureFrontDoor,ipv6,2603:1040:c06::600/123
AzureFrontDoor,ipv6,2603:1040:d04::5c0/123
AzureFrontDoor,ipv6,2603:1040:d04::7e0/123
AzureFrontDoor,ipv6,2603:1040:e05:6::1a0/123
AzureFrontDoor,ipv6,2603:1040:f05:1::5c0/123
AzureFrontDoor,ipv6,2603:1040:f05:1::7e0/123
AzureFrontDoor,ipv6,2603:1040:1002:1::1e0/123
AzureFrontDoor,ipv6,2603:1040:1104::680/123
AzureFrontDoor,ipv6,2603:1040:1302:1::4e0/123
AzureFrontDoor,ipv6,2603:1040:1402:1::1c0/123
AzureFrontDoor,ipv6,2603:1040:1602:2::300/123
AzureFrontDoor,ipv6,2603:1050:6:1::5c0/123
AzureFrontDoor,ipv6,2603:1050:6:1::7e0/123
